subregion,date,mask_wear_all_or_most
Mountain,6/7/20,0.52
Mountain,8/10/20,0.85
East_South_Central,6/7/20,0.5
East_South_Central,8/10/20,0.78
West_South_Central,6/7/20,0.58
West_South_Central,8/10/20,0.85
West_North_Central,6/7/20,0.47
West_North_Central,8/10/20,0.7
South_Atlantic,6/7/20,0.64
South_Atlantic,8/10/20,0.84
East_North_Central,6/7/20,0.61
East_North_Central,8/10/20,0.8
Pacific,6/7/20,0.75
Pacific,8/10/20,0.92
New_England,6/7/20,0.86
New_England,8/10/20,0.91
Mid_Atlantic,6/7/20,0.87
Mid_Atlantic,8/10/20,0.91
